#module	recipe	olean_sha256	olean_size	ilean_sha256	ilean_size	v2_olean_sha256	vs_v2	reason_class	cb_detail	ilean_vs_v2	backend	lean_wall_s	maxrss_kb
CKLaneA1.R5Data.C003	plain	5e229438235b4a679af6a238c2e46397fbd9a0d99eb53b70fdd1bed8b9cd48bf	5285648	86b308b4773a1159d7a26a1bfdc8b46f77eb88f7b0113a4cd62043ac981ed547	7303	5e229438235b4a679af6a238c2e46397fbd9a0d99eb53b70fdd1bed8b9cd48bf	IDENTICAL	-		IDENTICAL	workstation	145.0	7829192
CKLaneA1.R5Data.C004	plain	9a2731b9f244154df64e9019606c299473460937f06961eda7743ef590dd1eea	5348336	e67bfc2b7f1dda7cc7a7d9aa81bb3a13b4c8f7338f6681c02afa4352baa9944b	7970	9a2731b9f244154df64e9019606c299473460937f06961eda7743ef590dd1eea	IDENTICAL	-		IDENTICAL	cluster	66.093	4456952
CKLaneA1.R5Data.C005	plain	708a1c616204c3f05668dd41e7044be3c36cf886d6288cf05df363bd5eaf679c	5153992	7bfae7553d8ad9b7db3dce4b493846b29d308ca738c1b95d547fe8e563cc7015	7970	708a1c616204c3f05668dd41e7044be3c36cf886d6288cf05df363bd5eaf679c	IDENTICAL	-		IDENTICAL	workstation	140.0	7814712
CKLaneA1.R5Data.C006	plain	ca202b769740a2f02bb8e9ba1bbdda54edea03ec5d636379521d2e9fc12d587b	5552120	73684a26b974a1742cde8814ffdd03ddd117c1f5eae558160f6bed9bdcbbdcc5	9303	ca202b769740a2f02bb8e9ba1bbdda54edea03ec5d636379521d2e9fc12d587b	IDENTICAL	-		IDENTICAL	workstation	149.0	7779428
CKLaneA1.R5Data.C007	plain	5b2b41a118526b7df4985741bf2fe9322dbedfb16c8c385c71be8f59cd845d5f	5741056	859399531aeec429e2fc52bcbf72ef0acb81dc46df51c076f21976380c9e3623	10616	5b2b41a118526b7df4985741bf2fe9322dbedfb16c8c385c71be8f59cd845d5f	IDENTICAL	-		IDENTICAL	workstation	155.0	8041568
CKLaneA1.R5Data.C008	plain	2b59eaec2f6bef035a34e908c4116938d5ea8189533f812318320d1417a433fb	5291440	ec824e417d05381c6e3cb46a5cc9f5ef9609612847f8f318f5e695714aa21bc1	11950	2b59eaec2f6bef035a34e908c4116938d5ea8189533f812318320d1417a433fb	IDENTICAL	-		IDENTICAL	workstation	140.0	7895040
CKLaneA1.R5Data.C009	plain	c2c17c16f702629e2bcd000cf8ef6723032900387d867c44bdaf8501042aca7d	4700528	7bd312ba13b3b8cc1ee565885772ca03caf09a3bbdab3177721862412c770e8a	12617	c2c17c16f702629e2bcd000cf8ef6723032900387d867c44bdaf8501042aca7d	IDENTICAL	-		IDENTICAL	cluster	80.118	4346248
CKLaneA1.R5Data.C010	plain	aad1473f7532540de0ea40af3bfb364850373507797bf608a2cd7facfe971f9f	4819504	5c4408300f4fb8fb838601c69a63967eb8cef5b3dfe6db7f964b060808de80a2	15935	aad1473f7532540de0ea40af3bfb364850373507797bf608a2cd7facfe971f9f	IDENTICAL	-		IDENTICAL	cluster	65.614	4335768
CKLaneA1.R5Data.C011	plain	c417e59383aa154ff8f52532bb7ff74430cbf9c881cf999ccb9a6b1b982cc9bb	4405848	caaf3322d4b1f667d42dffb35a01a691019150bfa8b678ba1e5a62d20a9d3eee	21921	c417e59383aa154ff8f52532bb7ff74430cbf9c881cf999ccb9a6b1b982cc9bb	IDENTICAL	-		IDENTICAL	workstation	71.0	7741676
CKLaneA1.R5Data.C012	plain	ccfc7e8fb5a4a3013d29c9d6663a12a95d2e1292ab7f77fbb63464a2219bb091	5013120	f88acc644a0f7978db1f6009d5abff3bae4dde2bef7bf4fb462a1f38023004d5	31249	ccfc7e8fb5a4a3013d29c9d6663a12a95d2e1292ab7f77fbb63464a2219bb091	IDENTICAL	-		IDENTICAL	cluster	63.096	5558244
