#family	modules	lines	bytes	sample_module	check_heads(auto)	mechanisms(textual counts)	top_external_imports
GeneralCK.PsiThreeTenthsParentGain	1	147	7163	GeneralCK.PsiThreeTenthsParentGain		norm_num:37	GeneralCK.PsiTwoSeventhsBiasClosure:1
GeneralCK.PsiThreeTenthsRetainedWedge	1	213	10666	GeneralCK.PsiThreeTenthsRetainedWedge		norm_num:10	GeneralCK.PsiThreeTenthsParentClosure:1
GeneralCK.PsiThreeTenthsTail#*	1	75	2860	GeneralCK.PsiThreeTenthsTail28			GeneralCK.PsiOuterEntropy28:1;GeneralCK.PsiThreeTenthsCentralTail37:1
GeneralCK.PsiTwoSeventhsBiasClosure	1	93	4770	GeneralCK.PsiTwoSeventhsBiasClosure			GeneralCK.PsiTwoSeventhsRetainedWedge:1;GeneralCK.PsiTwoSeventhsParentClosure:1
GeneralCK.PsiTwoSeventhsParentClosure	1	162	8187	GeneralCK.PsiTwoSeventhsParentClosure		norm_num:19	GeneralCK.PsiFourFifteenthsParentClosure:1
GeneralCK.PsiTwoSeventhsRetainedWedge	1	213	10662	GeneralCK.PsiTwoSeventhsRetainedWedge		norm_num:10	GeneralCK.PsiFourFifteenthsParentClosure:1
GeneralCK.PureGapAnalyticClosure	1	148	7458	GeneralCK.PureGapAnalyticClosure		norm_num:2;rfl:1	GeneralCK.PureGapD0Origin:1;GeneralCK.PureGapCapAnalytic:1;GeneralCK.PureGapE8LargeSConsumer:1
GeneralCK.PureGapCanonicalFormula	1	46	2045	GeneralCK.PureGapCanonicalFormula			GeneralCK.PureGapEntropyRearrangement:1
GeneralCK.PureGapCapAnalytic	1	86	3885	GeneralCK.PureGapCapAnalytic		norm_num:1	GeneralCK.PureGapCapFiberOwner:1;GeneralCK.PureGapHalfMeanAnalytic:1
GeneralCK.PureGapCapFiberOwner	1	229	10688	GeneralCK.PureGapCapFiberOwner			GeneralCK.PureGapSeamOwner:1
GeneralCK.PureGapCapZeroReduction	1	340	15740	GeneralCK.PureGapCapZeroReduction		norm_num:15;rfl:5	GeneralCK.PureGapCapAnalytic:1;GeneralCK.DeterministicCap:1;GeneralCK.ProfileLowerBounds:1;GeneralCK.PhiEntropyConvexity:1
GeneralCK.PureGapCompactMean	1	237	10720	GeneralCK.PureGapCompactMean		norm_num:3	GeneralCK.PureGapCanonicalFormula:1
